year,state,district,disease_name,temperature,humidity,rainfall,ndvi,water_index,cases
2000,Tamil Nadu,Tiruvallur,Chikungunya,29.8,67.0,162.8,0.31,0.72,121
2000,Tamil Nadu,Tiruvannamalai,Leptospirosis,32.5,61.7,154.6,0.51,0.51,62
2000,Tamil Nadu,Tiruvarur,Chikungunya,32.6,81.1,193.3,0.39,0.55,135
2000,Tamil Nadu,Vellore,Leptospirosis,34.4,80.2,113.1,0.37,0.52,32
2000,Tamil Nadu,Viluppuram,Typhoid,32.0,66.4,84.6,0.39,0.79,75
2000,Tamil Nadu,Virudhunagar,Chikungunya,28.2,77.0,127.5,0.66,0.56,78
2001,Tamil Nadu,Ariyalur,Malaria,34.1,76.0,105.2,0.34,0.75,119
2001,Tamil Nadu,Chengalpattu,Influenza,28.5,78.7,168.4,0.57,0.48,93
2001,Tamil Nadu,Chennai,Malaria,35.4,63.1,87.2,0.57,0.76,103
2001,Tamil Nadu,Coimbatore,Dengue,29.4,66.6,87.8,0.49,0.52,126
2001,Tamil Nadu,Cuddalore,Typhoid,26.1,70.3,140.1,0.32,0.42,20
2001,Tamil Nadu,Dharmapuri,Malaria,29.1,75.9,127.9,0.54,0.6,123
2001,Tamil Nadu,Dindigul,Dengue,29.2,72.0,87.6,0.31,0.54,155
2001,Tamil Nadu,Erode,Typhoid,35.9,81.8,91.7,0.46,0.66,176
2001,Tamil Nadu,Kallakurichi,Chikungunya,33.0,74.5,181.4,0.69,0.63,110
2001,Tamil Nadu,Kancheepuram,Influenza,30.6,63.6,166.8,0.62,0.61,55
2001,Tamil Nadu,Kanyakumari,Dengue,31.3,84.3,198.0,0.51,0.48,103
2001,Tamil Nadu,Karur,Malaria,28.4,66.1,134.9,0.6,0.51,161
2001,Tamil Nadu,Krishnagiri,Leptospirosis,35.0,63.3,193.4,0.57,0.68,148
2001,Tamil Nadu,Madurai,Leptospirosis,29.9,83.0,172.8,0.32,0.42,123
2001,Tamil Nadu,Nagapattinam,Malaria,33.2,69.7,88.3,0.63,0.53,118
2001,Tamil Nadu,Namakkal,Malaria,30.8,64.9,176.2,0.43,0.5,83
2001,Tamil Nadu,Nilgiris,Influenza,34.5,80.8,120.0,0.6,0.43,60
2001,Tamil Nadu,Perambalur,Malaria,32.7,77.3,142.4,0.44,0.46,194
2001,Tamil Nadu,Pudukkottai,Typhoid,30.2,73.7,126.9,0.34,0.6,165
2001,Tamil Nadu,Ramanathapuram,Chikungunya,30.4,75.2,171.6,0.6,0.59,188
2001,Tamil Nadu,Ranipet,Typhoid,32.6,60.0,95.1,0.55,0.64,48
2001,Tamil Nadu,Salem,Typhoid,28.5,72.9,130.4,0.37,0.69,59
2001,Tamil Nadu,Sivagangai,Leptospirosis,35.8,78.7,85.9,0.45,0.62,143
2001,Tamil Nadu,Tenkasi,Malaria,29.5,76.3,134.5,0.33,0.62,92
2001,Tamil Nadu,Thanjavur,Influenza,28.9,74.3,106.2,0.46,0.58,143
2001,Tamil Nadu,Theni,Leptospirosis,28.7,70.2,188.9,0.59,0.49,67
2001,Tamil Nadu,Thoothukudi,Typhoid,29.6,80.4,193.3,0.37,0.47,184
2001,Tamil Nadu,Tiruchirappalli,Dengue,30.7,72.9,184.3,0.67,0.78,151
2001,Tamil Nadu,Tirunelveli,Typhoid,35.9,61.8,190.1,0.54,0.7,184
2001,Tamil Nadu,Tirupathur,Typhoid,30.3,63.6,173.4,0.47,0.75,69
2001,Tamil Nadu,Tiruppur,Chikungunya,32.3,73.9,190.0,0.43,0.74,95
2001,Tamil Nadu,Tiruvallur,Malaria,31.8,64.9,189.2,0.63,0.45,75
2001,Tamil Nadu,Tiruvannamalai,Influenza,31.7,69.8,165.9,0.49,0.67,150
2001,Tamil Nadu,Tiruvarur,Dengue,29.6,76.1,185.1,0.56,0.57,182
2001,Tamil Nadu,Vellore,Influenza,28.2,68.9,97.0,0.46,0.45,100
2001,Tamil Nadu,Viluppuram,Influenza,27.1,69.6,179.8,0.37,0.7,67
2001,Tamil Nadu,Virudhunagar,Dengue,27.5,83.6,194.6,0.51,0.73,134
2002,Tamil Nadu,Ariyalur,Dengue,27.0,76.9,91.7,0.33,0.53,73
2002,Tamil Nadu,Chengalpattu,Malaria,30.0,82.9,199.5,0.57,0.75,72
2002,Tamil Nadu,Chennai,Influenza,33.4,70.7,164.4,0.46,0.65,47
2002,Tamil Nadu,Coimbatore,Chikungunya,32.3,71.0,129.9,0.45,0.66,85
2002,Tamil Nadu,Cuddalore,Dengue,31.6,68.1,190.0,0.65,0.77,180
2002,Tamil Nadu,Dharmapuri,Malaria,35.7,62.1,190.4,0.33,0.58,179
2002,Tamil Nadu,Dindigul,Influenza,33.4,65.4,128.7,0.43,0.67,81
2002,Tamil Nadu,Erode,Dengue,30.3,64.9,196.1,0.54,0.68,159
2002,Tamil Nadu,Kallakurichi,Dengue,34.0,83.0,192.5,0.42,0.56,160
2002,Tamil Nadu,Kancheepuram,Influenza,28.2,81.4,143.0,0.55,0.77,153
2002,Tamil Nadu,Kanyakumari,Dengue,31.1,73.9,153.3,0.61,0.44,52
2002,Tamil Nadu,Karur,Chikungunya,29.8,63.7,130.4,0.45,0.59,162
2002,Tamil Nadu,Krishnagiri,Typhoid,26.8,67.8,92.4,0.43,0.68,94
2002,Tamil Nadu,Madurai,Influenza,32.2,84.4,115.7,0.6,0.5,96
2002,Tamil Nadu,Nagapattinam,Leptospirosis,28.2,80.2,163.9,0.67,0.64,123
2002,Tamil Nadu,Namakkal,Chikungunya,29.1,81.7,108.4,0.67,0.42,31
2002,Tamil Nadu,Nilgiris,Leptospirosis,26.5,68.7,198.2,0.32,0.79,188
2002,Tamil Nadu,Perambalur,Malaria,26.2,81.1,95.5,0.68,0.62,140
2002,Tamil Nadu,Pudukkottai,Chikungunya,29.0,69.9,167.6,0.66,0.62,163
2002,Tamil Nadu,Ramanathapuram,Dengue,26.5,60.9,145.1,0.46,0.59,31
2002,Tamil Nadu,Ranipet,Chikungunya,35.7,77.2,178.7,0.63,0.54,62
2002,Tamil Nadu,Salem,Influenza,34.4,84.2,170.2,0.44,0.58,74
2002,Tamil Nadu,Sivagangai,Leptospirosis,30.2,74.9,98.3,0.48,0.52,43
2002,Tamil Nadu,Tenkasi,Malaria,29.0,61.2,151.2,0.52,0.44,64
2002,Tamil Nadu,Thanjavur,Typhoid,27.3,65.1,158.7,0.54,0.58,32
2002,Tamil Nadu,Theni,Typhoid,29.3,76.9,92.0,0.49,0.71,127
2002,Tamil Nadu,Thoothukudi,Typhoid,35.3,62.8,127.9,0.6,0.7,45
2002,Tamil Nadu,Tiruchirappalli,Dengue,27.8,84.7,107.6,0.32,0.79,57
2002,Tamil Nadu,Tirunelveli,Chikungunya,31.1,62.9,149.8,0.41,0.67,156
2002,Tamil Nadu,Tirupathur,Dengue,35.0,78.4,133.3,0.54,0.73,120
2002,Tamil Nadu,Tiruppur,Typhoid,36.0,70.1,124.5,0.65,0.43,132
2002,Tamil Nadu,Tiruvallur,Influenza,32.5,83.8,186.9,0.67,0.57,114
2002,Tamil Nadu,Tiruvannamalai,Influenza,26.7,71.0,169.4,0.69,0.45,54
2002,Tamil Nadu,Tiruvarur,Dengue,32.8,73.1,155.1,0.69,0.55,50
2002,Tamil Nadu,Vellore,Leptospirosis,26.1,81.2,140.5,0.3,0.75,132
2002,Tamil Nadu,Viluppuram,Malaria,34.5,64.8,89.5,0.48,0.55,94
2002,Tamil Nadu,Virudhunagar,Leptospirosis,32.9,63.0,149.0,0.31,0.41,153
2003,Tamil Nadu,Ariyalur,Leptospirosis,34.0,68.3,181.9,0.64,0.64,104
2003,Tamil Nadu,Chengalpattu,Chikungunya,28.0,61.9,80.1,0.48,0.45,30
2003,Tamil Nadu,Chennai,Typhoid,26.2,65.3,118.1,0.48,0.66,52
2003,Tamil Nadu,Coimbatore,Dengue,29.5,66.6,160.2,0.6,0.55,63
2003,Tamil Nadu,Cuddalore,Malaria,35.1,69.3,191.1,0.46,0.64,126
2003,Tamil Nadu,Dharmapuri,Chikungunya,26.3,67.9,102.4,0.5,0.5,166
2003,Tamil Nadu,Dindigul,Typhoid,35.9,73.8,180.6,0.54,0.42,22
2003,Tamil Nadu,Erode,Influenza,34.6,63.2,123.3,0.44,0.79,146
2003,Tamil Nadu,Kallakurichi,Influenza,31.3,60.9,119.3,0.66,0.64,79
2003,Tamil Nadu,Kancheepuram,Dengue,33.8,77.3,191.2,0.35,0.54,181
2003,Tamil Nadu,Kanyakumari,Influenza,31.9,81.7,142.6,0.58,0.5,140
2003,Tamil Nadu,Karur,Leptospirosis,35.5,74.6,181.7,0.35,0.7,71
2003,Tamil Nadu,Krishnagiri,Influenza,35.3,63.7,146.4,0.36,0.7,196
2003,Tamil Nadu,Madurai,Malaria,34.3,79.3,95.6,0.41,0.77,65
2003,Tamil Nadu,Nagapattinam,Typhoid,28.8,66.9,136.9,0.65,0.67,49
2003,Tamil Nadu,Namakkal,Malaria,30.4,76.9,177.8,0.59,0.74,69
2003,Tamil Nadu,Nilgiris,Influenza,28.2,69.8,168.3,0.65,0.61,52
2003,Tamil Nadu,Perambalur,Malaria,26.1,73.4,124.8,0.48,0.7,117
2003,Tamil Nadu,Pudukkottai,Chikungunya,35.9,83.9,144.0,0.33,0.77,169
2003,Tamil Nadu,Ramanathapuram,Chikungunya,35.3,79.1,111.1,0.44,0.71,84
2003,Tamil Nadu,Ranipet,Typhoid,29.4,62.2,175.5,0.67,0.4,172
2003,Tamil Nadu,Salem,Influenza,30.8,82.7,116.3,0.47,0.69,70
2003,Tamil Nadu,Sivagangai,Dengue,28.5,74.3,87.1,0.56,0.56,176
2003,Tamil Nadu,Tenkasi,Leptospirosis,29.6,61.0,121.9,0.35,0.77,136
2003,Tamil Nadu,Thanjavur,Typhoid,26.1,75.7,143.0,0.58,0.42,143
2003,Tamil Nadu,Theni,Dengue,31.7,80.5,81.7,0.66,0.54,147
2003,Tamil Nadu,Thoothukudi,Influenza,35.1,71.6,138.5,0.43,0.56,65
2003,Tamil Nadu,Tiruchirappalli,Influenza,26.5,72.0,112.0,0.69,0.79,62
2003,Tamil Nadu,Tirunelveli,Typhoid,27.9,71.6,127.8,0.66,0.72,104
2003,Tamil Nadu,Tirupathur,Malaria,34.1,79.2,98.3,0.53,0.75,181
2003,Tamil Nadu,Tiruppur,Influenza,27.9,70.7,99.7,0.69,0.68,165
2003,Tamil Nadu,Tiruvallur,Malaria,33.4,78.9,184.8,0.47,0.73,52
2003,Tamil Nadu,Tiruvannamalai,Typhoid,28.0,60.2,90.4,0.55,0.73,31
2003,Tamil Nadu,Tiruvarur,Dengue,28.9,70.0,117.3,0.57,0.75,139
2003,Tamil Nadu,Vellore,Chikungunya,27.4,70.4,153.4,0.62,0.63,74
2003,Tamil Nadu,Viluppuram,Leptospirosis,32.3,81.3,158.9,0.59,0.43,93
2003,Tamil Nadu,Virudhunagar,Chikungunya,33.8,66.5,190.1,0.4,0.73,64
2004,Tamil Nadu,Ariyalur,Leptospirosis,33.2,66.2,192.3,0.34,0.74,103
2004,Tamil Nadu,Chengalpattu,Typhoid,29.6,73.4,144.5,0.3,0.51,176
2004,Tamil Nadu,Chennai,Malaria,31.4,74.6,104.7,0.33,0.47,194
2004,Tamil Nadu,Coimbatore,Leptospirosis,33.5,75.6,173.7,0.64,0.46,105
2004,Tamil Nadu,Cuddalore,Chikungunya,31.6,78.8,175.7,0.7,0.6,151
2004,Tamil Nadu,Dharmapuri,Leptospirosis,26.2,68.8,188.9,0.7,0.65,158
2004,Tamil Nadu,Dindigul,Malaria,31.0,82.0,93.7,0.35,0.75,169
2004,Tamil Nadu,Erode,Malaria,31.8,66.3,170.9,0.54,0.45,162
2004,Tamil Nadu,Kallakurichi,Malaria,34.7,67.0,187.7,0.33,0.65,156
2004,Tamil Nadu,Kancheepuram,Influenza,29.3,72.1,141.7,0.58,0.72,170
2004,Tamil Nadu,Kanyakumari,Malaria,30.0,79.7,187.5,0.43,0.59,140
2004,Tamil Nadu,Karur,Chikungunya,29.7,71.0,105.2,0.62,0.76,181
2004,Tamil Nadu,Krishnagiri,Leptospirosis,30.8,66.2,178.4,0.35,0.55,59
2004,Tamil Nadu,Madurai,Typhoid,34.2,71.1,104.0,0.42,0.48,53
2004,Tamil Nadu,Nagapattinam,Chikungunya,33.2,78.5,152.6,0.56,0.52,89
2004,Tamil Nadu,Namakkal,Malaria,35.3,82.6,144.8,0.35,0.8,68
2004,Tamil Nadu,Nilgiris,Typhoid,31.8,74.3,84.7,0.49,0.42,145
2004,Tamil Nadu,Perambalur,Malaria,30.0,68.6,154.6,0.56,0.63,143
2004,Tamil Nadu,Pudukkottai,Typhoid,31.4,73.4,180.1,0.67,0.69,81
2004,Tamil Nadu,Ramanathapuram,Dengue,27.1,64.2,183.1,0.59,0.58,118
2004,Tamil Nadu,Ranipet,Chikungunya,33.9,80.4,97.1,0.31,0.47,23
2004,Tamil Nadu,Salem,Influenza,30.4,82.0,147.3,0.54,0.66,141
2004,Tamil Nadu,Sivagangai,Chikungunya,30.0,73.2,82.7,0.5,0.44,33
2004,Tamil Nadu,Tenkasi,Malaria,26.4,79.4,190.3,0.64,0.57,154
2004,Tamil Nadu,Thanjavur,Chikungunya,29.7,78.4,95.1,0.39,0.56,104
2004,Tamil Nadu,Theni,Malaria,28.0,69.0,92.1,0.44,0.44,149
2004,Tamil Nadu,Thoothukudi,Typhoid,34.0,83.8,139.8,0.43,0.43,194
2004,Tamil Nadu,Tiruchirappalli,Malaria,29.6,72.3,194.1,0.67,0.41,63
2004,Tamil Nadu,Tirunelveli,Dengue,30.6,83.7,154.2,0.34,0.78,144
2004,Tamil Nadu,Tirupathur,Leptospirosis,28.6,78.5,186.9,0.56,0.44,48
2004,Tamil Nadu,Tiruppur,Chikungunya,28.7,68.1,118.5,0.63,0.5,30
2004,Tamil Nadu,Tiruvallur,Chikungunya,33.0,75.2,160.4,0.52,0.79,90
2004,Tamil Nadu,Tiruvannamalai,Typhoid,28.7,71.8,157.0,0.33,0.62,173
2004,Tamil Nadu,Tiruvarur,Malaria,27.0,72.4,85.8,0.47,0.75,128
2004,Tamil Nadu,Vellore,Dengue,31.2,69.0,90.1,0.66,0.45,43
2004,Tamil Nadu,Viluppuram,Typhoid,33.7,61.6,106.6,0.61,0.74,168
2004,Tamil Nadu,Virudhunagar,Typhoid,34.9,68.1,147.9,0.47,0.78,186
2005,Tamil Nadu,Ariyalur,Typhoid,31.2,83.7,144.3,0.45,0.44,195
2005,Tamil Nadu,Chengalpattu,Chikungunya,27.7,69.8,92.5,0.58,0.54,91
2005,Tamil Nadu,Chennai,Chikungunya,34.3,65.4,97.5,0.61,0.56,105
2005,Tamil Nadu,Coimbatore,Influenza,34.6,71.0,133.3,0.53,0.77,134
2005,Tamil Nadu,Cuddalore,Malaria,27.1,83.3,101.1,0.33,0.59,162
2005,Tamil Nadu,Dharmapuri,Chikungunya,32.3,72.5,150.8,0.49,0.41,63
2005,Tamil Nadu,Dindigul,Influenza,28.3,68.4,133.9,0.62,0.69,39
2005,Tamil Nadu,Erode,Dengue,27.9,76.3,143.6,0.62,0.41,89
2005,Tamil Nadu,Kallakurichi,Malaria,26.6,78.6,169.2,0.64,0.52,119
2005,Tamil Nadu,Kancheepuram,Typhoid,35.5,76.3,81.9,0.68,0.5,66
2005,Tamil Nadu,Kanyakumari,Leptospirosis,28.5,69.2,104.3,0.52,0.56,102
2005,Tamil Nadu,Karur,Chikungunya,28.5,76.4,128.9,0.4,0.64,21
2005,Tamil Nadu,Krishnagiri,Dengue,27.3,66.8,135.2,0.4,0.64,98
2005,Tamil Nadu,Madurai,Chikungunya,27.8,77.8,98.9,0.51,0.68,122
2005,Tamil Nadu,Nagapattinam,Dengue,31.3,66.2,187.8,0.67,0.5,146
2005,Tamil Nadu,Namakkal,Malaria,36.0,73.0,97.3,0.64,0.61,51
2005,Tamil Nadu,Nilgiris,Leptospirosis,35.6,63.0,82.8,0.61,0.47,147
2005,Tamil Nadu,Perambalur,Influenza,28.9,63.9,187.4,0.31,0.55,92
2005,Tamil Nadu,Pudukkottai,Leptospirosis,28.3,70.1,122.4,0.38,0.71,103
2005,Tamil Nadu,Ramanathapuram,Leptospirosis,27.7,74.0,147.4,0.6,0.59,32
2005,Tamil Nadu,Ranipet,Leptospirosis,26.6,64.8,96.8,0.59,0.52,27
2005,Tamil Nadu,Salem,Malaria,32.4,73.8,179.8,0.46,0.77,51
2005,Tamil Nadu,Sivagangai,Malaria,26.4,84.8,102.1,0.51,0.75,32
2005,Tamil Nadu,Tenkasi,Chikungunya,27.4,60.9,152.6,0.33,0.75,97
2005,Tamil Nadu,Thanjavur,Leptospirosis,34.1,83.6,177.2,0.56,0.8,155
2005,Tamil Nadu,Theni,Dengue,30.8,79.9,145.8,0.58,0.51,101
2005,Tamil Nadu,Thoothukudi,Malaria,29.5,80.4,173.2,0.53,0.44,112
2005,Tamil Nadu,Tiruchirappalli,Malaria,32.1,83.7,116.1,0.57,0.44,32
2005,Tamil Nadu,Tirunelveli,Typhoid,35.3,61.5,94.0,0.52,0.61,190
2005,Tamil Nadu,Tirupathur,Influenza,29.0,78.5,91.1,0.53,0.78,106
2005,Tamil Nadu,Tiruppur,Influenza,26.5,79.1,154.8,0.64,0.47,48
2005,Tamil Nadu,Tiruvallur,Dengue,30.2,65.5,88.5,0.67,0.68,30
2005,Tamil Nadu,Tiruvannamalai,Malaria,29.3,84.4,154.4,0.37,0.41,170
2005,Tamil Nadu,Tiruvarur,Influenza,35.4,63.8,112.7,0.65,0.46,62
2005,Tamil Nadu,Vellore,Malaria,34.5,62.5,169.1,0.57,0.64,114
2005,Tamil Nadu,Viluppuram,Leptospirosis,33.8,74.6,103.2,0.7,0.78,105
2005,Tamil Nadu,Virudhunagar,Malaria,35.2,72.6,148.3,0.61,0.46,156
2006,Tamil Nadu,Ariyalur,Influenza,28.5,62.7,153.6,0.37,0.71,39
2006,Tamil Nadu,Chengalpattu,Leptospirosis,27.2,83.7,95.6,0.57,0.68,106
2006,Tamil Nadu,Chennai,Typhoid,31.4,69.4,118.2,0.36,0.78,180
2006,Tamil Nadu,Coimbatore,Influenza,34.5,75.1,96.3,0.58,0.65,108
2006,Tamil Nadu,Cuddalore,Influenza,27.3,61.2,116.7,0.55,0.75,38
2006,Tamil Nadu,Dharmapuri,Chikungunya,33.5,72.1,103.8,0.51,0.68,91
2006,Tamil Nadu,Dindigul,Influenza,35.3,79.7,101.4,0.36,0.79,153
2006,Tamil Nadu,Erode,Typhoid,26.8,61.0,170.6,0.38,0.59,49
2006,Tamil Nadu,Kallakurichi,Leptospirosis,35.8,80.7,103.3,0.67,0.45,192
2006,Tamil Nadu,Kancheepuram,Chikungunya,35.0,69.3,198.9,0.6,0.53,44
2006,Tamil Nadu,Kanyakumari,Influenza,27.2,71.4,193.1,0.3,0.61,73
2006,Tamil Nadu,Karur,Dengue,27.2,80.8,162.5,0.51,0.73,137
2006,Tamil Nadu,Krishnagiri,Dengue,30.6,73.3,169.0,0.53,0.47,71
2006,Tamil Nadu,Madurai,Typhoid,32.7,84.4,93.7,0.67,0.66,175
2006,Tamil Nadu,Nagapattinam,Malaria,32.1,80.9,198.0,0.62,0.51,66
2006,Tamil Nadu,Namakkal,Influenza,35.3,66.7,174.7,0.47,0.48,113
2006,Tamil Nadu,Nilgiris,Dengue,30.9,72.4,191.9,0.33,0.55,119
2006,Tamil Nadu,Perambalur,Chikungunya,32.4,63.4,191.4,0.55,0.51,130
2006,Tamil Nadu,Pudukkottai,Influenza,35.4,61.0,158.2,0.63,0.61,58
2006,Tamil Nadu,Ramanathapuram,Dengue,29.6,81.9,199.4,0.48,0.64,197
2006,Tamil Nadu,Ranipet,Malaria,29.0,73.6,82.5,0.41,0.76,87
2006,Tamil Nadu,Salem,Influenza,32.7,66.1,193.7,0.68,0.49,87
2006,Tamil Nadu,Sivagangai,Leptospirosis,30.4,60.6,107.7,0.43,0.59,173
2006,Tamil Nadu,Tenkasi,Dengue,27.6,63.9,84.4,0.52,0.76,164
2006,Tamil Nadu,Thanjavur,Malaria,28.8,64.3,140.7,0.52,0.75,136
2006,Tamil Nadu,Theni,Leptospirosis,27.8,83.2,92.0,0.35,0.73,198
2006,Tamil Nadu,Thoothukudi,Influenza,28.2,69.0,94.9,0.42,0.41,195
2006,Tamil Nadu,Tiruchirappalli,Influenza,30.4,79.7,162.3,0.31,0.63,76
2006,Tamil Nadu,Tirunelveli,Influenza,29.1,63.0,92.0,0.56,0.44,32
2006,Tamil Nadu,Tirupathur,Dengue,31.8,80.0,143.2,0.61,0.77,130
2006,Tamil Nadu,Tiruppur,Influenza,30.8,84.6,155.3,0.58,0.49,140
2006,Tamil Nadu,Tiruvallur,Influenza,35.5,73.1,108.2,0.49,0.46,91
2006,Tamil Nadu,Tiruvannamalai,Typhoid,34.9,83.9,139.3,0.42,0.62,134
2006,Tamil Nadu,Tiruvarur,Influenza,33.2,81.1,124.4,0.65,0.64,125
2006,Tamil Nadu,Vellore,Typhoid,31.4,71.9,170.9,0.6,0.64,133
2006,Tamil Nadu,Viluppuram,Dengue,28.6,61.9,89.0,0.51,0.56,71
2006,Tamil Nadu,Virudhunagar,Leptospirosis,34.6,73.2,189.9,0.36,0.76,39
2007,Tamil Nadu,Ariyalur,Typhoid,27.4,78.6,155.6,0.68,0.54,40
2007,Tamil Nadu,Chengalpattu,Influenza,33.5,82.6,95.9,0.38,0.61,93
2007,Tamil Nadu,Chennai,Malaria,32.0,83.6,143.4,0.66,0.69,175
2007,Tamil Nadu,Coimbatore,Chikungunya,31.1,75.2,128.1,0.62,0.49,136
2007,Tamil Nadu,Cuddalore,Dengue,33.4,62.0,123.2,0.53,0.6,159
2007,Tamil Nadu,Dharmapuri,Dengue,32.0,78.2,142.9,0.42,0.44,168
2007,Tamil Nadu,Dindigul,Dengue,27.5,73.2,137.2,0.44,0.49,57
2007,Tamil Nadu,Erode,Dengue,27.2,77.1,160.8,0.46,0.79,29
2007,Tamil Nadu,Kallakurichi,Malaria,35.7,68.2,114.8,0.47,0.71,162
2007,Tamil Nadu,Kancheepuram,Typhoid,35.6,82.5,169.9,0.59,0.59,69
2007,Tamil Nadu,Kanyakumari,Dengue,35.8,78.8,126.1,0.4,0.72,123
2007,Tamil Nadu,Karur,Influenza,29.0,62.5,137.0,0.53,0.45,118
2007,Tamil Nadu,Krishnagiri,Chikungunya,32.2,78.6,180.6,0.32,0.75,121
2007,Tamil Nadu,Madurai,Malaria,30.8,82.7,166.3,0.67,0.51,162
2007,Tamil Nadu,Nagapattinam,Dengue,34.1,83.1,85.9,0.44,0.41,111
2007,Tamil Nadu,Namakkal,Leptospirosis,33.1,73.5,129.4,0.55,0.52,153
2007,Tamil Nadu,Nilgiris,Chikungunya,32.8,71.5,113.2,0.46,0.42,37
2007,Tamil Nadu,Perambalur,Dengue,31.7,62.5,85.3,0.68,0.59,160
2007,Tamil Nadu,Pudukkottai,Malaria,29.5,72.7,186.0,0.57,0.45,144
2007,Tamil Nadu,Ramanathapuram,Malaria,31.8,70.9,80.7,0.43,0.54,192
2007,Tamil Nadu,Ranipet,Chikungunya,31.4,76.8,95.7,0.61,0.44,23
2007,Tamil Nadu,Salem,Dengue,33.4,62.6,148.1,0.56,0.53,115
2007,Tamil Nadu,Sivagangai,Leptospirosis,31.1,72.4,199.2,0.63,0.75,110
2007,Tamil Nadu,Tenkasi,Malaria,34.9,84.3,127.5,0.3,0.49,141
2007,Tamil Nadu,Thanjavur,Malaria,33.6,64.9,175.1,0.6,0.72,161
2007,Tamil Nadu,Theni,Chikungunya,34.7,72.2,156.3,0.56,0.42,117
2007,Tamil Nadu,Thoothukudi,Influenza,35.5,82.9,133.4,0.37,0.64,38
2007,Tamil Nadu,Tiruchirappalli,Typhoid,32.6,74.5,178.3,0.39,0.71,119
2007,Tamil Nadu,Tirunelveli,Influenza,34.6,71.3,164.4,0.39,0.54,166
2007,Tamil Nadu,Tirupathur,Leptospirosis,32.2,82.3,161.2,0.68,0.56,84
2007,Tamil Nadu,Tiruppur,Dengue,28.2,79.6,85.1,0.44,0.6,160
2007,Tamil Nadu,Tiruvallur,Typhoid,35.1,84.3,84.7,0.36,0.45,119
2007,Tamil Nadu,Tiruvannamalai,Leptospirosis,34.4,79.8,177.0,0.62,0.72,140
2007,Tamil Nadu,Tiruvarur,Influenza,33.1,65.7,196.2,0.62,0.65,190
2007,Tamil Nadu,Vellore,Leptospirosis,32.0,65.2,90.5,0.43,0.44,92
2007,Tamil Nadu,Viluppuram,Leptospirosis,28.9,78.3,141.3,0.48,0.45,29
2007,Tamil Nadu,Virudhunagar,Leptospirosis,32.6,78.4,151.5,0.46,0.52,189
